,name,company,Empty,Price,kms_driven,fuel_type,abc,abc2,year
760,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel,,,2011
761,Tata Indica V2,Tata,2005,60000,80000,Diesel,,,2008
762,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel,,,2017
763,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel,,,2015
764,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel,,,2013
765,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol,,,2014
766,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol,,,2003
767,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol,,,2019
768,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol,,,2022
769,Datsun Go Plus,Datsun,2016,285000,13900,Petrol,,,2019
770,Ford Endeavor 4x4,Ford,2019,2900000,9000,Diesel,,,2022
771,Tata Indica V2,Tata,2005,39999,80000,Diesel,,,2008
772,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol,,,2009
773,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol,,,2019
774,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel,,,2011
775,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol,,,2022
776,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel,,,2014
777,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol,,,2019
778,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol,,,2022
779,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol,,,2020
780,Mahindra Logan,Mahindra,2009,130000,65000,Diesel,,,2012
781,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol,,,2003
782,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel,,,2014
783,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol,,,2016
784,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol,,,2006
785,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol,,,2009
786,Hyundai Eon,Hyundai,2018,260000,25000,Petrol,,,2021
787,Tata Manza,Tata,2015,100000,100000,Diesel,,,2018
788,Toyota Etios G,Toyota,2013,265000,42000,Petrol,,,2016
789,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol,,,2012
790,Toyota Qualis,Toyota,2003,180000,100000,Diesel,,,2006
791,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol,,,2007
792,Tata Indica eV2,Tata,2016,50500,91200,Diesel,,,2019
793,Honda City 1.5,Honda,2009,270000,55000,Petrol,,,2012
794,Tata Zest XE,Tata,2017,290000,120000,Diesel,,,2020
795,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel,,,2016
796,Tata Indigo eCS,Tata,2016,160000,104000,Diesel,,,2019
797,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel,,,2019
798,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol,,,2014
799,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol,,,2014
800,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel,,,2010
801,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel,,,2019
802,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol,,,2021
803,Honda City VX,Honda,2016,860000,95000,Petrol,,,2019
804,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel,,,2019
805,Hyundai Getz,Hyundai,2006,125000,80000,Petrol,,,2009
806,Mercedes Benz C,Mercedes,2006,500001,15000,Petrol,,,2009
807,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol,,,2008
808,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel,,,2012
809,Skoda Fabia,Skoda,2009,110000,45000,Petrol,,,2012
810,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol,,,2014
811,Tata Indica V2,Tata,2009,110000,30000,Diesel,,,2012
812,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol,,,2012
813,Tata Zest XM,Tata,2018,260000,27000,Diesel,,,2021
814,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel,,,2016
